State,Year,Democratic Vote,Republican Vote
AL,2012,38.4,60.6
AK,2012,40.8,54.8
AZ,2012,44.6,53.7
AR,2012,36.9,60.6
CA,2012,60.2,37.1
CO,2012,51.5,46.1
CT,2012,58.1,40.7
DE,2012,58.6,40.0
DC,2012,90.9,7.3
FL,2012,50.0,49.1
GA,2012,45.5,53.3
HI,2012,70.6,27.8
ID,2012,32.6,64.5
IL,2012,57.6,40.7
IN,2012,43.9,54.1
IA,2012,52.0,46.2
KS,2012,38.0,59.7
KY,2012,37.8,60.5
LA,2012,40.6,57.8
ME,2012,56.3,41.0
MD,2012,62.0,35.9
MA,2012,60.7,37.5
MI,2012,54.2,44.7
MN,2012,52.7,45.0
MS,2012,43.8,55.3
MO,2012,44.4,53.8
MT,2012,41.7,55.4
NE,2012,38.0,59.8
NV,2012,52.4,45.7
NH,2012,52.0,46.4
NJ,2012,58.4,40.6
NM,2012,53.,42.8
NY,2012,63.4,35.2
NC,2012,48.4,50.4
ND,2012,38.7,58.3
OH,2012,50.7,47.7
OK,2012,33.2,66.8
OR,2012,54.2,42.2
PA,2012,52.0,46.6
RI,2012,62.7,35.2
SC,2012,44.1,54.6
SD,2012,39.9,57.9
TN,2012,39.1,59.5
TX,2012,41.4,57.2
UT,2012,24.8,72.8
VT,2012,66.6,31.0
VA,2012,51.2,47.3
WA,2012,56.2,41.3
WV,2012,35.5,62.3
WI,2012,52.8,45.9
WY,2012,27.8,68.6
